job_id,title,job_family,reasoning,labeling_method,review_status,stratum,stratum_size,verdict,human_family
careerviet:35C72622,Chuyên viên cấp cao/Chuyên gia Phòng Quản trị Mô hình và Danh mục - Khối Quản trị rủi ro,RISK_FRAUD_ANALYST,"Primary responsibilities involve risk management, credit analysis, and model development.",vote:github+groq,resolved,llm_2plus_votes|DATA,329,agree,RISK_FRAUD_ANALYST
topdev:2109415,"Chuyên viên, Chuyên viên cao cấp Kiểm định Mô hình rủi ro - Risk Model Validation Specialist, Senior Specialist - Khối Quản trị rủi ro",RISK_FRAUD_ANALYST,"Title and JD focus on risk model validation, requiring data analysis and statistical work, fitting the Risk/Fraud/Financial Analyst category.",vote:cerebras+mistral,resolved,llm_2plus_votes|DATA,329,agree,RISK_FRAUD_ANALYST
topcv:2200670,Trưởng Bộ Phận BI,BI,"Title and responsibilities focus on Business Intelligence strategy, reporting, and dashboard development.",vote:cerebras+mistral,resolved,llm_2plus_votes|DATA,329,agree,BI
careerviet:35C6DDB5,DevOps Engineer,MLOPS,"The role focuses on deploying and optimizing AI/ML systems in production, which aligns closely with MLOps responsibilities.",vote:cerebras+github,resolved,llm_2plus_votes|DATA,329,agree,MLOPS
itviec:0e8f0a36-e8f3-4c39-beca-3e49614b7b93,Agentic Engineer,AI_ENGINEER,,vote:cerebras+cloudflare+mistral,resolved,llm_2plus_votes|DATA,329,agree,AI_ENGINEER
itviec:95a3e834-40aa-451d-bc91-469f87e981e9,Data Intern,DATA_ANALYST,,vote:cloudflare+mistral,resolved,llm_2plus_votes|DATA,329,agree,DATA_ANALYST
itviec:ccf7daee-80e1-454e-97e0-db8a55d66934,Senior Business Application Analyst,BUSINESS_ANALYST,"The job description focuses on business analysis, requirements gathering, and bridging the gap between business and technical teams, which aligns with the BUSINESS_ANALYST role.",vote:cerebras+qwen,resolved,llm_2plus_votes|DATA,329,agree,BUSINESS_ANALYST
vietnamworks:2066638,Kỹ Sư Nền Tảng Xử Lý Dữ Liệu Lớn - Khối Công Nghệ Thông Tin,BIG_DATA_ENGINEER,"The role centers on building, operating, and optimizing large-scale data pipelines and platforms using Spark, Kafka, Flink, and Airflow, which matches the Big Data Engineer family.",vote:cerebras+mistral,resolved,llm_2plus_votes|DATA,329,agree,BIG_DATA_ENGINEER
vietnamworks:2056100,"Assistant Manager, Compliance",DATA_GOVERNANCE,"Primary responsibilities involve data privacy and governance compliance, matching the Data Governance family.",vote:cerebras+mistral,resolved,llm_2plus_votes|DATA,329,agree,DATA_GOVERNANCE
topdev:2111608,Chuyên Viên Tư Vấn Tuyển Sinh /Bán Hàng/Kinh Doanh/Sales/Consultant - Thu Nhập Từ 12 Triệu Đến Không Giới Hạn - ILA Hồng Hà,OTHER,"The primary responsibilities are sales and business development, not data or AI.",vote:cerebras+qwen,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
careerviet:35C77E9E,CHUYÊN VIÊN NỘI THẤT,OTHER,"The primary responsibilities focus on customer service, sales, and market research, with no core data or analytics tasks.",vote:cerebras+github,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
vietnamworks:2063721,First Line Manager – Ho Chi Minh City,OTHER,"Primary responsibilities focus on sales team leadership and territory management, not core data/analytics work.",vote:cerebras+mistral,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
itviec:45bc468b-814c-43dc-9154-fc59a4e7bd7a,QA Engineer ~ $1500,OTHER,"The primary responsibilities are focused on software testing and quality assurance, not data or AI.",vote:cerebras+qwen,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
careerviet:35C78577,Trưởng phòng Trải nghiệm khách hàng,OTHER,"The primary responsibilities focus on customer experience management and service quality, which are not data or AI-related roles.",vote:cerebras+github,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
vietnamworks:2060523,Control Tower Transformation and P&L Lead,OTHER,"Primary duties focus on supply chain process transformation and P&L governance, not core data/AI work.",vote:cerebras+mistral,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
vietnamworks:2056673,Hỗ Trợ Khách Hàng Ngành Luật Lương Cứng Hơn 10Tr,OTHER,"The role focuses on customer support and communication in the legal sector, with no data, analytics, or AI responsibilities.",vote:cerebras+mistral,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
vietnamworks:2066696,Tổ Trưởng Kỹ Thuật,OTHER,The role is a Technical Team Leader in an agricultural/engineering context with no data or AI responsibilities.,vote:cerebras+mistral,resolved,llm_2plus_votes|OTHER,880,agree,OTHER
