job_id,title,stored,source,a1,a2,evidence,reference
itviec:0e8f0a36-e8f3-4c39-beca-3e49614b7b93,Agentic Engineer,Junior,llm,Senior,,Có kinh nghiệm thực tế làm Backend tại công ty hoặc dự án lớn.,
itviec:03361dda-bcbe-44ff-870e-040e2bb9621e,AI Software Engineer,Junior,llm,Mid,,Có kinh nghiệm thực tế làm Backend tại công ty hoặc dự án lớn.,
itviec:66c3cc18-dc11-4f9a-9c7f-9a10318e4424,Data Engineer - Data Division,Mid,llm,Mid,,Kinh nghiệm làm việc - Từ 3 - 5 kỹ năng nổi bật,
topdev:2112036,Data Analytics Consultant,Mid,llm,Mid,Mid,"3+ years in Data Science, Machine Learning, or Advanced Analytics",Mid
vietnamworks:2058001,Data Analyst,Junior,llm,Unknown,Unknown,"Qualifications * College/ Bachelor degree in Data Analytics, Computer Science, Industrial Engineering, or related field.",Unknown
itviec:87b60c8e-93ac-49a7-bc99-d057b94a4936,Chuyên viên Lập trình AI,Mid,llm,Mid,,"- Kinh nghiệm vận hành hiểu biết Python, XML, PostgreSQL FastApi.",
topcv:2192246,Chuyên Viên Mô Hình Rủi Ro - Data Science & Risk Modeling Spealist - Khối Quản Trị Rủi Ro,Mid,llm,Mid,,Kinh nghiệm làm việc Từ 3 - 5,
itviec:61f0b416-8d7f-4a2b-9f1c-b3656775ec35,Data Analyst,Mid,llm,Mid,Mid,Minimum of 2-year experience as a Data Analyst or Business Analyst.,Mid
itviec:50d34548-7d69-4350-bddf-3d225f4584f2,IT Automation Developer,Junior,llm,Mid,,Có kinh nghiệm lập trình thực tế (chấp nhận từ kinh nghiệm đồ án/thực tập đối với Fresher đến kinh nghiệm làm việc thực tế đối với cấp độ Junior/Mid),
itviec:b1375ec2-e16f-47c5-a755-1d,Remote AI Engineer,Senior,llm,Senior,,"This role is not just about connecting models or tuning packages; it requires continuously improving model performance under the constraints of terminal computing power, memory, latency, and product l",
itviec:9a2c8bab-c4ac-47e1-99f8-7243f3aae58a,Data Engineer,Mid,llm,Mid,,"Có kinh nghiệm làm việc với hệ thống DWH, ETL/ELT hoặc Data Pipeline.",
itviec:69aaf2d2-7974-42a7-8e1e-64bcef9de2ee,Data Business Analyst – ID6813,Mid,llm,Senior,,"Tối thiểu 4-5 năm trong lĩnh vực quản lý dữ liệu/báo cáo/phân tích/học máy trong ngành tài chính ngân hàng, bảo hiểm, chứng khoán",
itviec:126cc3b2-7e5a-486f-853d-8ff033e0b54c,IT Business Analyst Presales,Mid,llm,Mid,,"Proven experience in presales activities such as requirement discovery, solution design, proposal preparation, and client presentations.",
itviec:761814cc-6300-4b8b-bb8d-8a4bb50ff6f3,Data Engineer,Junior,llm,Junior,Junior,Fresher Accepted,Junior
vietnamworks:2041611,Data Analyst,Junior,llm,Junior,Junior,"At least one years of experience in Credit Risk Analytics, Retail Banking Analytics, Retail Risk Analytics or Credit Scoring, …",Junior
itviec:0d89e1f4-cb50-46cc-878c-d95e39a557ef,Data Engineer,Mid,llm,Mid,,"Có kinh nghiệm làm việc với các hệ quản trị cơ sở dữ liệu như PostgreSQL, SQL Server, Oracle, Snowflake hoặc BigQuery . Thành thạo một hoặc nhiều ngôn ngữ lập trình: Python, Java, Kinh nghiệm làm việc",
itviec:17fe7aea-532d-4d06-aab5-774e147d1c58,Cộng tác viên Prompt Engineer – Khối CNTT,Junior,llm,Intern,,"Sinh viên mới tốt nghiệp hoặc sinh viên năm cuối các ngành Công nghệ thông tin/Hệ thống thông tin/MIS/BA/Kinh tế số/Thương mại điện tử hoặc các chuyên ngành liên quan, có thể làm việc toàn thời gian.",
topdev:2113418,Finance & Data Specialist,Mid,llm,Mid,,"Có kinh nghiệm phân tích tài chính, báo cáo quản trị, FP&A hoặc kiểm soát hiệu quả kinh doanh.",
itviec:b28a0e48-2662-4741-82be-a888da22d819,Data Annotation,Junior,llm,Mid,Junior,The annotation resources in Vietnam perform operational annotation work based on defined guidelines and quality requirements.,
topdev:2107179,Chuyên viên Quản trị Hiệu quả & Danh mục SME - Khối Khách hàng vừa và nhỏ,Mid,llm,Mid,,"Ưu tiên có kinh nghiệm trong: phân tích dữ liệu, tài chính ngân hàng, SME Chấp nhận ứng viên mới tốt nghiệp có tư duy phân tích tốt",
itviec:d4acbee5-a745-42d6-80e3-4238639020ed,Business Analyst,Lead,llm,Senior,,"Lead requirement elicitation, structured analysis, and clarification sessions with business units. Define and manage project scope; author, refine, and maintain comprehensive user stories, product bac",
vietnamworks:2068199,Digital Transformation Engineer,Mid,llm,Mid,Mid,Required Qualifications - 2+ years of...,Mid
itviec:254da14e-95fa-4c92-845d-dad0dbb45827,C# Developer,Senior,llm,Mid,Mid,We require a minimum of 3 years of professional development experience.,Mid
itviec:c7206199-9368-40ec-b148-611b50bd3c32,AI Native Platform Engineer,Senior,llm,Senior,Senior,"7+ years building and operating web applications in production, with a platform bias: APIs , microservices , distributed systems , and reliability under load.",Senior
vietnamworks:2067843,Nhân Viên Data,Junior,llm,Unknown,Junior,TITLE: Nhân Viên Data,
itviec:536f98ec-02f8-4c3e-bc25-cebad05732c1,Remote - Data Operations Analyst,Unknown,none,Mid,,Work closely with Team Leads and Senior Analysts on priorities and deliverables,
itviec:401a88be-56f5-455f-a824-d9f1b4e03c75,Agentic AI Developer,Unknown,none,Senior,,"Am hiểu Agentic Frameworks: Kinh nghiệm làm việc với các framework điều phối AI (LangChain, LangGraph, CrewAI hoặc tương đương). Hiểu rõ về khái niệm RAG, Tool Use (Function Calling) và Memory trong A",
careerviet:35C79F56,Data Engineer,Unknown,none,Mid,,"Experience in data engineering, ETL development, data warehousing, or business intelligence solutions.",
itviec:ba024973-f127-4d84-be6d-2db79926aeae,Data Engineer,Mid,llm,Mid,,"Experience in building mid/complex data pipelines, optimizing code, and handling large datasets efficiently.",
itviec:de745978-18fd-4c18-b546-91c906331177,AI Agent Engineer : Build the Agent Layer,Mid,llm,Mid,,"Have shipped real, production software end to end (backend, data, and a clean web UI) Have built LLM-powered features beyond prompt-tinkering — tool/function calling, multi-step orchestration, structu",
itviec:7994b818-c481-447c-b39e-d64fb0c0e6d2,Junior Business Analyst-Chuyên viên Phân tích nghiệp vụ,Junior,rule_title,Junior,Junior,Có tối thiểu 2 năm kinh nghiệm làm việc ở vị trí BA hoặc tương đương,Junior
